# Undirected graph (each unordered pair of nodes is saved once): geo_prefattach.txt
# Nodes: 100 Edges: 740
# NodeId	NodeId
0	3
0	5
0	8
0	13
0	14
0	24
0	29
0	30
0	32
0	33
0	34
0	35
0	38
0	40
0	43
0	49
0	51
0	53
0	55
0	72
0	75
1	2
1	3
1	11
1	19
1	20
1	21
1	31
1	37
1	58
1	68
1	77
1	91
2	19
2	20
2	21
2	28
2	48
2	58
2	62
2	63
2	68
2	77
2	80
2	91
3	11
3	12
3	13
3	14
3	21
3	24
3	31
3	32
3	34
3	35
3	49
3	51
3	53
3	58
3	59
3	60
3	83
3	98
4	18
4	27
4	29
4	30
4	36
4	41
4	46
4	55
4	87
4	89
5	10
5	13
5	14
5	18
5	24
5	26
5	29
5	32
5	34
5	38
5	49
5	51
5	71
5	73
5	75
5	85
6	15
6	16
6	17
6	22
6	23
6	36
6	39
6	44
6	46
6	50
6	52
6	54
6	61
6	66
6	70
6	82
6	88
6	92
7	9
7	17
7	25
7	26
7	28
7	36
7	39
7	57
7	62
7	64
7	65
7	66
7	67
7	80
7	86
7	87
8	22
8	23
8	24
8	27
8	29
8	30
8	33
8	50
8	51
8	52
8	55
8	61
8	72
8	75
8	81
8	83
8	85
8	89
8	90
9	10
9	18
9	26
9	28
9	48
9	57
9	62
9	64
9	65
9	67
9	79
9	80
9	87
9	91
10	14
10	18
10	26
10	28
10	30
10	34
10	41
10	57
10	62
10	79
11	12
11	13
11	20
11	21
11	24
11	31
11	32
11	35
11	37
11	40
11	47
11	53
11	56
11	60
11	69
11	77
11	93
11	94
11	98
12	13
12	20
12	23
12	24
12	31
12	32
12	33
12	35
12	37
12	40
12	47
12	56
12	60
12	75
12	83
12	99
13	14
13	24
13	30
13	32
13	33
13	34
13	38
13	40
13	43
13	49
13	56
13	59
13	83
13	93
13	98
14	24
14	29
14	30
14	32
14	34
14	35
14	38
14	40
14	43
14	49
14	53
14	55
15	16
15	22
15	23
15	42
15	44
15	46
15	50
15	54
15	61
15	74
15	78
15	81
15	82
15	88
15	92
16	22
16	23
16	44
16	46
16	50
16	54
16	70
16	74
16	78
16	81
16	82
17	25
17	36
17	39
17	42
17	44
17	45
17	54
17	63
17	64
17	67
17	70
17	74
17	76
17	86
17	88
17	92
17	96
18	26
18	29
18	30
18	36
18	41
18	55
18	65
18	87
18	95
19	20
19	21
19	37
19	42
19	45
19	63
19	68
19	69
19	74
19	76
19	77
19	80
19	82
19	84
19	96
20	21
20	31
20	37
20	63
20	68
20	69
20	76
20	94
21	31
21	35
21	40
21	49
21	58
21	59
21	68
21	77
22	23
22	27
22	33
22	44
22	46
22	47
22	50
22	52
22	61
22	73
22	94
23	27
23	33
23	43
23	44
23	47
23	50
23	52
23	60
23	73
23	81
23	83
23	94
23	97
23	98
23	99
24	27
24	29
24	30
24	32
24	33
24	35
24	38
24	40
24	43
24	56
24	72
24	73
24	90
24	93
24	97
24	98
25	36
25	39
25	42
25	45
25	63
25	64
25	65
25	66
25	70
25	74
25	82
25	84
25	88
26	28
26	34
26	48
26	57
26	62
26	64
26	67
26	71
27	29
27	30
27	33
27	38
27	41
27	43
27	46
27	50
27	52
27	55
27	61
27	90
27	95
27	97
28	34
28	48
28	57
28	58
28	62
28	64
28	67
28	71
28	80
28	91
29	30
29	33
29	38
29	41
29	43
29	51
29	52
29	55
29	72
29	73
29	75
29	79
29	81
29	85
29	89
29	90
29	95
29	97
30	32
30	33
30	34
30	38
30	41
30	43
30	55
30	79
30	85
30	89
30	95
30	97
31	35
31	37
31	47
31	60
31	68
31	69
31	76
31	78
31	94
31	99
32	34
32	35
32	38
32	49
32	51
32	53
32	56
32	59
32	83
32	98
33	35
33	38
33	40
33	47
33	51
33	55
33	56
33	60
33	72
33	73
33	94
33	98
34	48
34	49
34	58
34	59
34	71
34	91
35	40
35	49
35	51
35	53
35	56
35	58
35	59
35	60
35	75
36	39
36	41
36	46
36	64
36	65
36	66
36	79
36	86
36	87
36	88
36	89
37	44
37	45
37	47
37	56
37	60
37	63
37	69
37	74
37	76
37	84
37	94
37	99
38	40
38	43
38	51
38	52
38	53
38	72
38	73
38	97
39	42
39	45
39	46
39	54
39	64
39	65
39	66
39	70
39	82
39	84
39	86
39	92
40	43
40	47
40	49
40	51
40	53
40	56
40	59
40	60
40	75
40	93
40	94
41	46
41	52
41	65
41	72
41	79
41	85
42	44
42	45
42	54
42	63
42	66
42	70
42	74
42	78
42	84
43	56
43	72
43	73
43	81
43	90
44	45
44	46
44	50
44	54
44	61
44	69
44	70
44	74
44	76
44	78
44	84
44	88
44	96
44	99
45	54
45	63
45	69
45	74
45	76
45	78
45	82
45	96
45	99
46	50
46	52
46	54
46	61
46	65
46	66
46	70
46	81
46	85
46	88
46	89
46	90
46	92
47	60
47	69
47	83
47	97
47	99
48	57
48	58
48	62
48	67
48	68
48	71
48	77
49	53
49	58
49	59
49	71
49	93
50	52
50	54
50	61
50	81
50	85
50	89
50	92
51	53
51	55
51	72
51	73
51	93
51	98
52	61
52	73
52	79
52	81
52	85
52	87
53	58
53	59
53	75
53	93
54	61
54	65
54	66
54	70
54	84
54	86
54	92
55	72
55	79
55	83
55	85
55	89
55	90
55	95
56	75
56	78
56	83
56	93
56	94
56	99
57	62
57	64
57	65
57	67
57	71
57	80
57	91
58	59
58	68
58	71
58	77
58	91
58	93
59	68
59	71
59	77
60	69
60	78
60	94
61	89
61	90
61	99
62	64
62	67
62	71
63	68
63	69
63	76
63	77
63	78
63	80
63	82
63	96
64	66
64	67
64	80
64	86
64	87
65	66
65	67
65	70
65	79
65	86
65	87
66	87
66	88
66	92
66	96
67	80
67	86
67	91
69	74
69	76
69	77
70	82
70	86
70	88
70	92
70	96
71	80
71	91
72	75
72	79
72	81
72	83
72	90
72	95
72	97
73	95
74	76
74	82
74	84
74	86
74	96
75	93
75	98
76	78
78	84
79	87
80	91
81	85
81	92
82	84
82	88
83	90
83	98
84	96
85	95
85	97
87	89
87	95
88	96
89	95
90	97
94	99
